DATE,BTC_OPEN,ETH_OPEN
2018-11-05,6482.0,212.16
2018-11-04,6387.1,200.07
2018-11-03,6435.41,202.22
2018-11-02,6405.27,199.67
2018-11-01,6376.3,198.47
2018-10-31,6332.24,197.36
2018-10-30,6375.45,197.76
2018-10-29,6495.0,205.5
2018-10-28,6502.28,204.28
2018-10-27,6540.0,204.71
2018-10-26,6539.0,204.67
2018-10-25,6561.47,205.45
2018-10-24,6556.15,205.9
2018-10-23,6581.55,206.45
2018-10-22,6592.25,207.22
2018-10-21,6592.94,208.39
2018-10-20,6528.14,204.73
2018-10-19,6610.0,206.47
2018-10-18,6739.75,213.44
2018-10-17,6758.75,215.5
2018-10-16,6750.0,214.39
2018-10-15,6342.37,196.94
2018-10-14,6329.23,201.22
2018-10-13,6304.11,197.25
2018-10-12,6250.28,191.75
2018-10-11,6630.2,226.76
2018-10-10,6654.92,228.66
2018-10-09,6674.06,230.34
2018-10-08,6607.94,226.33
2018-10-07,6600.18,225.41
2018-10-06,6642.91,228.15
2018-10-05,6600.61,222.49
2018-10-04,6503.93,220.69
2018-10-03,6541.6,226.03
2018-10-02,6607.8,231.54
2018-10-01,6620.0,232.31
2018-09-30,6597.37,231.71
2018-09-29,6641.01,221.77
2018-09-28,6692.52,229.38
2018-09-27,6465.05,214.42
2018-09-26,6440.89,219.32
